degree,university,year,gross_mthly_25_percentile,gross_mthly_75_percentile,gross_monthly_median,IQR,IQR_ratio
Accountancy,Nanyang Technological University,2016,2900,3100,2900.0,200,0.06896551724137931
Accountancy,Nanyang Technological University,2018,3000,3200,3000.0,200,0.06666666666666667
Accountancy,Nanyang Technological University,2019,3000,3200,3000.0,200,0.06666666666666667
Accountancy,Nanyang Technological University,2020,3000,3100,3000.0,100,0.03333333333333333
Accountancy,Nanyang Technological University,2021,3100,3500,3400.0,400,0.11764705882352941
Accountancy,Nanyang Technological University,2022,3600,4300,3600.0,700,0.19444444444444445
Accountancy,Nanyang Technological University,2023,3600,4000,3600.0,400,0.1111111111111111
Accountancy,Singapore Management University,2015,2850,3500,3000.0,650,0.21666666666666667
Accountancy,Singapore Management University,2016,2900,3600,3000.0,700,0.23333333333333334
Accountancy,Singapore Management University,2017,2920,3600,3000.0,680,0.22666666666666666
Accountancy,Singapore Management University,2018,3000,3650,3000.0,650,0.21666666666666667
Accountancy,Singapore Management University,2019,3000,4000,3050.0,1000,0.32786885245901637
Accountancy,Singapore Management University,2020,3000,4000,3100.0,1000,0.3225806451612903
Accountancy,Singapore Management University,2021,3200,4000,3400.0,800,0.23529411764705882
Accountancy,Singapore Management University,2022,3600,4600,3825.0,1000,0.26143790849673204
Accountancy,Singapore Management University,2023,3600,4700,3900.0,1100,0.28205128205128205
Accountancy (3-yr direct Honours Programme),Nanyang Technological University,2013,2700,2900,2700.0,200,0.07407407407407407
Accountancy (3-yr direct Honours Programme),Nanyang Technological University,2014,2700,3000,2840.0,300,0.1056338028169014
Accountancy (3-yr direct Honours Programme),Nanyang Technological University,2015,2850,3125,2875.0,275,0.09565217391304348
Accountancy (4-year programme),Singapore Management University,2014,2722,3614,2875.0,892,0.31026086956521737
Accountancy (4-year programme) Cum Laude and above,Singapore Management University,2014,2875,4300,3500.0,1425,0.40714285714285714
Accountancy (4-years programme),Singapore Management University,2013,2700,3430,2825.0,730,0.2584070796460177
Accountancy (4-years programme) Cum Laude and above,Singapore Management University,2013,2700,3750,3000.0,1050,0.35
Accountancy (Cum Laude and above),Singapore Management University,2018,3013,4773,3550.0,1760,0.49577464788732395
Accountancy (Cum Laude and above),Singapore Management University,2019,3000,5000,3600.0,2000,0.5555555555555556
Accountancy (Cum Laude and above),Singapore Management University,2020,3000,4583,3744.0,1583,0.42280982905982906
Accountancy (Cum Laude and above),Singapore Management University,2021,3300,4600,3850.0,1300,0.33766233766233766
Accountancy (Cum Laude and above),Singapore Management University,2022,3600,5500,4025.0,1900,0.4720496894409938
Accountancy Cum Laude and above,Singapore Management University,2015,2850,4110,3200.0,1260,0.39375
Accountancy Cum Laude and above,Singapore Management University,2016,3000,4583,3600.0,1583,0.43972222222222224
Accountancy Cum Laude and above,Singapore Management University,2017,3000,4645,3200.0,1645,0.5140625
Accountancy and Business,Nanyang Technological University,2013,2900,4000,3350.0,1100,0.3283582089552239
Accountancy and Business,Nanyang Technological University,2014,2900,4000,3300.0,1100,0.3333333333333333
Accountancy and Business,Nanyang Technological University,2015,3000,4850,3770.0,1850,0.4907161803713528
Accountancy and Business,Nanyang Technological University,2016,3100,4250,3500.0,1150,0.32857142857142857
Accountancy and Business,Nanyang Technological University,2018,3600,4633,4000.0,1033,0.25825
Accountancy and Business,Nanyang Technological University,2019,3200,4600,4000.0,1400,0.35
Accountancy and Business,Nanyang Technological University,2020,3500,5000,4405.0,1500,0.340522133938706
Accountancy and Business,Nanyang Technological University,2021,3700,5858,4500.0,2158,0.47955555555555557
Accountancy and Business,Nanyang Technological University,2022,4167,6230,4942.0,2063,0.41744233104006473
Accountancy and Business,Nanyang Technological University,2023,4000,5344,4650.0,1344,0.28903225806451616
Aerospace Engineering,Nanyang Technological University,2013,3100,3816,3500.0,716,0.20457142857142857
Aerospace Engineering,Nanyang Technological University,2014,3300,4070,3770.0,770,0.20424403183023873
Aerospace Engineering,Nanyang Technological University,2015,3450,4000,3700.0,550,0.14864864864864866
Aerospace Engineering,Nanyang Technological University,2016,3350,4435,3675.0,1085,0.29523809523809524
Aerospace Engineering,Nanyang Technological University,2018,3365,4280,3800.0,915,0.24078947368421053
Aerospace Engineering,Nanyang Technological University,2019,3500,4600,3800.0,1100,0.2894736842105263
Aerospace Engineering,Nanyang Technological University,2020,3800,4945,4000.0,1145,0.28625
Aerospace Engineering,Nanyang Technological University,2021,3792,5000,4471.0,1208,0.27018564079624247
Aerospace Engineering,Nanyang Technological University,2022,4160,5500,5000.0,1340,0.268
Aerospace Engineering,Nanyang Technological University,2023,4150,5700,4763.0,1550,0.3254251522149906
"Art, Design & Media",Nanyang Technological University,2013,2300,2900,2500.0,600,0.24
"Art, Design & Media",Nanyang Technological University,2014,2300,3000,2700.0,700,0.25925925925925924
"Art, Design & Media",Nanyang Technological University,2015,2200,3000,2800.0,800,0.2857142857142857
"Art, Design & Media",Nanyang Technological University,2016,2500,3000,2700.0,500,0.18518518518518517
"Art, Design & Media",Nanyang Technological University,2018,2600,3300,3000.0,700,0.23333333333333334
"Art, Design & Media",Nanyang Technological University,2019,2800,3500,3000.0,700,0.23333333333333334
"Art, Design and Media",Nanyang Technological University,2020,2500,3300,2800.0,800,0.2857142857142857
"Art, Design and Media",Nanyang Technological University,2021,2650,3675,3000.0,1025,0.3416666666666667
"Art, Design and Media",Nanyang Technological University,2022,3000,3600,3200.0,600,0.1875
"Art, Design and Media",Nanyang Technological University,2023,3000,3755,3498.0,755,0.21583762149799884
Arts (With Education),Nanyang Technological University,2018,3600,3806,3800.0,206,0.05421052631578947
Arts (and Education),Nanyang Technological University,2023,3948,4600,4200.0,652,0.15523809523809523
Arts (with Education),Nanyang Technological University,2013,3400,3575,3498.0,175,0.05002858776443682
Arts (with Education),Nanyang Technological University,2014,3400,3700,3475.0,300,0.08633093525179857
Arts (with Education),Nanyang Technological University,2015,3500,3605,3500.0,105,0.03
Arts (with Education),Nanyang Technological University,2016,3400,3615,3525.0,215,0.06099290780141844
Arts (with Education),Nanyang Technological University,2019,3600,3806,3800.0,206,0.05421052631578947
Arts (with Education),Nanyang Technological University,2020,3600,3806,3799.0,206,0.05422479599894709
Arts (with Education),Nanyang Technological University,2021,3700,3900,3780.0,200,0.05291005291005291
Arts (with Education),Nanyang Technological University,2022,3750,4300,4129.0,550,0.1332041656575442
Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,2015,3313,3650,3488.0,337,0.09661697247706422
Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,2016,3400,3930,3660.0,530,0.1448087431693989
Bachelor in Science (Diagnostic Radiography),Singapore Institute of Technology,2020,3400,3859,3650.0,459,0.12575342465753425
Bachelor in Science (Diagnostic Radiography) ^,Singapore Institute of Technology,2018,3300,3800,3350.0,500,0.14925373134328357
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2014,3000,3338,3100.0,338,0.10903225806451614
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2015,3000,3225,3125.0,225,0.072
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2016,3100,3500,3200.0,400,0.125
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2017,3020,3450,3300.0,430,0.1303030303030303
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2018,3300,3610,3460.0,310,0.08959537572254335
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2019,3308,3650,3425.0,342,0.09985401459854015
Bachelor in Science (Occupational Therapy),Singapore Institute of Technology,2020,3364,3629,3400.0,265,0.07794117647058824
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2014,3000,3500,3200.0,500,0.15625
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2015,3200,3500,3222.0,300,0.0931098696461825
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2016,3240,3500,3300.0,260,0.07878787878787878
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2017,3300,3500,3400.0,200,0.058823529411764705
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2018,3000,3600,3300.0,600,0.18181818181818182
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2019,3400,3620,3400.0,220,0.06470588235294118
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2020,3400,3700,3500.0,300,0.08571428571428572
Bachelor in Science (Physiotherapy),Singapore Institute of Technology,2022,3500,3850,3674.0,350,0.09526401741970604
Bachelor in Science (Radiation Therapy) ^,Singapore Institute of Technology,2020,3400,3500,3500.0,100,0.02857142857142857
Bachelor of Accountancy,Singapore University of Social Sciences,2018,2700,3000,3000.0,300,0.1
Bachelor of Accountancy,Singapore University of Social Sciences,2019,2750,3000,3000.0,250,0.08333333333333333
Bachelor of Accountancy,Singapore University of Social Sciences,2020,3000,3000,3000.0,0,0.0
Bachelor of Accountancy,Singapore University of Social Sciences,2021,3000,3400,3200.0,400,0.125
Bachelor of Accountancy,Singapore University of Social Sciences,2022,3500,3663,3600.0,163,0.04527777777777778
Bachelor of Accountancy,Singapore University of Social Sciences,2023,3500,3600,3600.0,100,0.027777777777777776
Bachelor of Accountancy (Hons),Nanyang Technological University,2017,2900,3100,3000.0,200,0.06666666666666667
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2017,2975,3250,3088.0,275,0.08905440414507772
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2018,3000,3250,3075.0,250,0.08130081300813008
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2019,3000,3250,3100.0,250,0.08064516129032258
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2020,3000,3200,3000.0,200,0.06666666666666667
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2021,3200,3460,3400.0,260,0.07647058823529412
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2022,3600,4000,3600.0,400,0.1111111111111111
Bachelor of Accountancy with Honours,Singapore Institute of Technology,2023,3600,4000,3620.0,400,0.11049723756906077
Bachelor of Applied Science (Hons),National University of Singapore,2013,2600,3255,2900.0,655,0.22586206896551725
Bachelor of Applied Science (Hons),National University of Singapore,2014,2600,3000,2800.0,400,0.14285714285714285
Bachelor of Applied Science (Hons),National University of Singapore,2015,3000,4000,3100.0,1000,0.3225806451612903
Bachelor of Applied Science (Hons),National University of Singapore,2016,2800,3350,3130.0,550,0.1757188498402556
Bachelor of Applied Science (Hons),National University of Singapore,2017,2800,3200,3085.0,400,0.12965964343598055
Bachelor of Arts,National University of Singapore,2013,2500,3080,2800.0,580,0.20714285714285716
Bachelor of Arts,National University of Singapore,2014,2500,3010,2800.0,510,0.18214285714285713
Bachelor of Arts,National University of Singapore,2015,2700,3215,3000.0,515,0.17166666666666666
Bachelor of Arts,National University of Singapore,2016,2600,3200,3000.0,600,0.2
Bachelor of Arts,National University of Singapore,2017,2700,3300,3000.0,600,0.2
Bachelor of Arts,National University of Singapore,2018,2800,3600,3200.0,800,0.25
Bachelor of Arts,National University of Singapore,2019,2800,3700,3200.0,900,0.28125
Bachelor of Arts,National University of Singapore,2020,2700,3600,3300.0,900,0.2727272727272727
Bachelor of Arts,National University of Singapore,2021,2850,4100,3200.0,1250,0.390625
Bachelor of Arts,National University of Singapore,2022,3500,4000,3700.0,500,0.13513513513513514
Bachelor of Arts,National University of Singapore,2023,3400,5000,3745.0,1600,0.4272363150867824
Bachelor of Arts (Architecture),National University of Singapore,2020,3650,4300,4000.0,650,0.1625
Bachelor of Arts (Architecture),National University of Singapore,2021,3600,4440,4000.0,840,0.21
Bachelor of Arts (Architecture) #,National University of Singapore,2014,4000,4750,4275.0,750,0.17543859649122806
Bachelor of Arts (Architecture) #,National University of Singapore,2015,3700,4500,4127.0,800,0.1938454082868912
Bachelor of Arts (Architecture) #,National University of Singapore,2016,3500,4250,4000.0,750,0.1875
Bachelor of Arts (Architecture) #,National University of Singapore,2017,3780,4300,4000.0,520,0.13
Bachelor of Arts (Architecture) #,National University of Singapore,2019,3800,4500,4100.0,700,0.17073170731707318
Bachelor of Arts (Architecture) #,National University of Singapore,2022,4000,4800,4400.0,800,0.18181818181818182
Bachelor of Arts (Hons),National University of Singapore,2013,2800,3500,3200.0,700,0.21875
Bachelor of Arts (Hons),National University of Singapore,2014,3000,3600,3300.0,600,0.18181818181818182
